No ferme;NIM1;NIM2;NIM3
1;100395441;;
2;100065325;;
3;100991694;;
4;100333418;;
5;100906189;;
6;100359983;;
7;100550318;;
8;101164473;100479476;
9;100420538;;
10;100384650;;
11;100228212;;
12;100222553;;
13;100101211;;
14;101173086;100450501;
15;100001411;;
16;100137843;;
17;100024876;;
18;100419241;;
19;100284819;;
20;101110070;;
21;100413509;;
22;100052075;;
23;100279645;;
24;100277425;;
25;100439553;;
26;100051622;;
27;100438068;;
28;100366012;;
29;101200368;100040211;
31;100218809;;
32;100400530;;
33;101112936;;
34;100118744;;
35;100165430;;
36;100374180;;
37;101128932;;
38;100095231;;
39;100988260;;
40;100343193;;
41;101099158;;
42;100407097;;
43;100458413;;
44;101019057;;
45;100227073;;
46;100411040;;
47;100420702;;
48;100084854;;
49;100059104;100312255;101231595
50;100417153;;
51;100236744;;
52;100113752;;
53;100989524;;
54;101091403;;
55;100197474;;
56;100086875;;
57;100191824;;
58;100182039;;
59;100337179;101266427;
60;100333020;;
61;100303239;;
62;100259027;;
63;100973429;;
64;100422997;;
65;100179019;;
66;100459890;;
67;100958115;;
68;100363928;;
69;101013647;;
70;100497247;;
71;100095520;;
72;100236314;;
73;100068329;;
74;100305101;;
75;100432574;;
76;101160414;;
77;100434984;;
78;100045392;;
79;100243468;;
80;100128198;;
81;100223932;;
82;100439850;;
83;100073915;;
84;100084458;;
85;100500560;;
86;100172618;100172620;100172631
87;100610567;;
88;100323740;;
89;100982024;;
90;100429679;;
91;100303890;;
92;101096618;;
93;100389089;;
94;100327931;;
95;100382050;;
96;100321066;;
97;100078203;;
98;100300797;;
99;100028042;;
100;100100627;;
101;101018539;;
102;100223791;;
